,CL
2022-08-10 23:30:00,726.3961273812909
2022-08-11 00:00:00,399.2262260449248
2022-08-11 00:30:00,492.6196224054594
2022-08-11 01:00:00,493.563772249076
2022-08-11 01:30:00,493.6015382428207
2022-08-11 02:00:00,494.9233480238841
2022-08-11 02:30:00,492.4307924367359
2022-08-11 03:00:00,461.4604139891954
2022-08-11 03:30:00,462.0994574921809
2022-08-11 04:00:00,492.2793710548763
2022-08-11 04:30:00,494.51459368780206
2022-08-11 05:00:00,495.7648029570658
2022-08-11 05:30:00,495.12075575774816
2022-08-11 06:00:00,461.495916406028
2022-08-11 06:30:00,467.8508490190505
2022-08-11 07:00:00,532.0506556724481
2022-08-11 07:30:00,644.6076133067957
2022-08-11 08:00:00,738.1530267273246
2022-08-11 08:30:00,1316.717686096105
2022-08-11 09:00:00,2304.84978220074
2022-08-11 09:30:00,2080.408983224339
2022-08-11 10:00:00,2083.285751208416
2022-08-11 10:30:00,1947.5424987205004
2022-08-11 11:00:00,1961.353653682116
2022-08-11 11:30:00,1769.814064259312
2022-08-11 12:00:00,1560.1244003412
2022-08-11 12:30:00,1616.3863193062273
2022-08-11 13:00:00,1903.791011941996
2022-08-11 13:30:00,1563.6293704862098
2022-08-11 14:00:00,1656.178095251635
2022-08-11 14:30:00,1701.8420662496449
2022-08-11 15:00:00,1737.869037247655
2022-08-11 15:30:00,1606.8372413989196
2022-08-11 16:00:00,1681.566254762582
2022-08-11 16:30:00,1788.4410386693207
2022-08-11 17:00:00,1503.99484105772
2022-08-11 17:30:00,1600.0896377594545
2022-08-11 18:00:00,1684.2223835655388
2022-08-11 18:30:00,1380.2590301393234
2022-08-11 19:00:00,1379.5628015353996
2022-08-11 19:30:00,1407.004263576912
2022-08-11 20:00:00,1423.113902189366
2022-08-11 20:30:00,1432.9455698038105
2022-08-11 21:00:00,1003.3772866079046
2022-08-11 21:30:00,1211.7912462325844
2022-08-11 22:00:00,1701.719237418254
2022-08-11 22:30:00,1259.3841421666193
2022-08-11 23:00:00,780.7087492180838
2022-08-11 23:30:00,694.5001842479387
2022-08-12 00:00:00,425.203392095536
2022-08-12 00:30:00,454.1222550469149
2022-08-12 01:00:00,456.4797108330963
2022-08-12 01:30:00,486.5190443559852
2022-08-12 02:00:00,484.7035365368211
2022-08-12 02:30:00,484.33302473699166
2022-08-12 03:00:00,484.81469007677
2022-08-12 03:30:00,515.006636337788
2022-08-12 04:00:00,486.7784026158657
2022-08-12 04:30:00,456.4797108330965
2022-08-12 05:00:00,482.9991822576061
2022-08-12 05:30:00,484.33302473699183
2022-08-12 06:00:00,484.0736664771113
2022-08-12 06:30:00,491.9285166334946
2022-08-12 07:00:00,524.9045433608189
2022-08-12 07:30:00,796.9475308501567
2022-08-12 08:00:00,1220.0045754904752
2022-08-12 08:30:00,1207.796152118283
2022-08-12 09:00:00,2267.2683295422235
2022-08-12 09:30:00,2143.303420813193
2022-08-12 10:00:00,1721.6655197611606
2022-08-12 10:30:00,1696.163109183964
2022-08-12 11:00:00,1664.4761299402903
2022-08-12 11:30:00,1484.894779073074
2022-08-12 12:00:00,1575.131557861814
2022-08-12 12:30:00,1537.0122078475972
2022-08-12 13:00:00,1630.85796218368
2022-08-12 13:30:00,1506.7782067102646
2022-08-12 14:00:00,1558.0068837077056
2022-08-12 14:30:00,1699.717758885414
2022-08-12 15:00:00,1574.7101751492753
2022-08-12 15:30:00,1575.5193443275523
2022-08-12 16:00:00,1542.8449690076773
2022-08-12 16:30:00,1541.9688456070517
2022-08-12 17:00:00,1514.0699027580326
2022-08-12 17:30:00,1752.0975243104922
2022-08-12 18:00:00,1557.1207529144158
2022-08-12 18:30:00,1487.6511009383
2022-08-12 19:00:00,1448.1245208984935
2022-08-12 19:30:00,1536.2571262439585
2022-08-12 20:00:00,1279.257513505829
2022-08-12 20:30:00,1346.5548464600513
2022-08-12 21:00:00,1622.3647833380726
2022-08-12 21:30:00,1352.3641379016208
2022-08-12 22:00:00,1310.1263883992042
2022-08-12 22:30:00,1209.8153818595397
2022-08-12 23:00:00,871.8261785612739
2022-08-12 23:30:00,651.1588814330396
2022-08-13 00:00:00,552.555564970145
2022-08-13 00:30:00,552.1768328120557
2022-08-13 01:00:00,553.0679673016775
2022-08-13 01:30:00,552.2213895365369
2022-08-13 02:00:00,552.7115135058289
2022-08-13 02:30:00,523.2933531418823
2022-08-13 03:00:00,522.8556488484505
2022-08-13 03:30:00,551.9094924651693
2022-08-13 04:00:00,552.9788538527155
2022-08-13 04:30:00,524.0692834802388
2022-08-13 05:00:00,523.1739792436736
2022-08-13 05:30:00,481.7921000853
2022-08-13 06:00:00,325.3782206425933
2022-08-13 06:30:00,455.6415916974695
2022-08-13 07:00:00,581.163126528291
2022-08-13 07:30:00,631.8378228603922
2022-08-13 08:00:00,1223.0539709980094
2022-08-13 08:30:00,2097.0186340631217
2022-08-13 09:00:00,1661.9419960193347
2022-08-13 09:30:00,1540.6990980949672
2022-08-13 10:00:00,1513.92408075064
2022-08-13 10:30:00,1590.8606772817743
2022-08-13 11:00:00,1614.241044071652
2022-08-13 11:30:00,1493.863666477111
2022-08-13 12:00:00,1495.821541370486
2022-08-13 12:30:00,1564.206106056298
2022-08-13 13:00:00,1965.2857250497584
2022-08-13 13:30:00,1746.8469789593405
2022-08-13 14:00:00,1745.8112138185957
2022-08-13 14:30:00,1643.4601288029571
2022-08-13 15:00:00,1645.1199263576914
2022-08-13 15:30:00,1641.5487168040945
2022-08-13 16:00:00,1642.6690682399774
2022-08-13 16:30:00,1617.1828601080467
2022-08-13 17:00:00,1600.0254236565256
2022-08-13 17:30:00,1599.3010790446406
2022-08-13 18:00:00,1578.9808299687234
2022-08-13 18:30:00,1092.9907477964175
2022-08-13 19:00:00,1101.3621700312765
2022-08-13 19:30:00,893.8450634063124
2022-08-13 20:00:00,847.0669360250215
2022-08-13 20:30:00,915.3961026442992
2022-08-13 21:00:00,915.216803525732
2022-08-13 21:30:00,868.9454791015069
2022-08-13 22:00:00,868.0848433323855
2022-08-13 22:30:00,867.7979647426785
2022-08-13 23:00:00,844.2865487631504
2022-08-13 23:30:00,735.6720272959913
2022-08-14 00:00:00,584.7115811771397
2022-08-14 00:30:00,542.5557969860677
2022-08-14 01:00:00,267.8330918396363
2022-08-14 01:30:00,466.9163491612172
2022-08-14 02:00:00,466.23727608757486
2022-08-14 02:30:00,465.4509809496733
2022-08-14 03:00:00,500.9033608188799
2022-08-14 03:30:00,499.8359056013651
2022-08-14 04:00:00,500.7889906170032
2022-08-14 04:30:00,498.65408018197326
2022-08-14 05:00:00,499.1115609894795
2022-08-14 05:30:00,499.2640545919818
2022-08-14 06:00:00,470.6601862382713
2022-08-14 06:30:00,468.903054876315
2022-08-14 07:00:00,473.8143019618993
2022-08-14 07:30:00,610.8035939721353
2022-08-14 08:00:00,946.866374182542
2022-08-14 08:30:00,1116.966316178561
2022-08-14 09:00:00,1084.1404003412
2022-08-14 09:30:00,984.9366403184532
2022-08-14 10:00:00,985.1868251350584
2022-08-14 10:30:00,529.2731276656244
2022-08-14 11:00:00,
2022-08-14 11:30:00,1210.1244196758605
2022-08-14 12:00:00,1653.424990048337
2022-08-14 12:30:00,1455.2414449815185
2022-08-14 13:00:00,1322.757266704578
2022-08-14 13:30:00,983.298168040944
2022-08-14 14:00:00,1023.3431071936308
2022-08-14 14:30:00,984.3686016491326
2022-08-14 15:00:00,984.302123969292
2022-08-14 15:30:00,984.800706568098
2022-08-14 16:00:00,1020.5760631219788
2022-08-14 16:30:00,1063.4287907307366
2022-08-14 17:00:00,1081.9978652260452
2022-08-14 17:30:00,1057.061825419392
2022-08-14 18:00:00,1043.80882087006
2022-08-14 18:30:00,1049.135493886835
2022-08-14 19:00:00,1025.748932044356
2022-08-14 19:30:00,1022.3746536821156
2022-08-14 20:00:00,1022.3414148421951
2022-08-14 20:30:00,980.3875655388116
2022-08-14 21:00:00,942.7316531134488
2022-08-14 21:30:00,960.0152541939156
2022-08-14 22:00:00,986.7096167187948
2022-08-14 22:30:00,958.1530452089852
2022-08-14 23:00:00,956.3469491043504
2022-08-14 23:30:00,803.852750924083
2022-08-15 00:00:00,645.9152459482515
2022-08-15 00:30:00,616.364845038385
2022-08-15 01:00:00,415.1971907876031
2022-08-15 01:30:00,533.9966170031277
2022-08-15 02:00:00,563.7045152118282
2022-08-15 02:30:00,533.384498151834
2022-08-15 03:00:00,532.4933636622122
2022-08-15 03:30:00,532.8579186806937
2022-08-15 04:00:00,567.7622746659085
2022-08-15 04:30:00,532.0477964174013
2022-08-15 05:00:00,536.1389138470289
2022-08-15 05:30:00,537.4756155814616
2022-08-15 06:00:00,535.9363832812057
2022-08-15 06:30:00,539.7844640318455
2022-08-15 07:00:00,602.7845749218085
2022-08-15 07:30:00,659.1236937731022
2022-08-15 08:00:00,627.619945123685
2022-08-15 08:30:00,2111.704721069093
2022-08-15 09:00:00,2177.7843687802106
2022-08-15 09:30:00,2232.7514026158665
2022-08-15 10:00:00,2199.0135035541653
2022-08-15 10:30:00,2140.1475180551606
2022-08-15 11:00:00,2109.346193062269
2022-08-15 11:30:00,2030.295653966449
2022-08-15 12:00:00,2031.323913562696
2022-08-15 12:30:00,2104.643909866363
2022-08-15 13:00:00,1935.4576189934603
2022-08-15 13:30:00,2447.965623827125
2022-08-15 14:00:00,2242.7135237418256
2022-08-15 14:30:00,2020.3923858402047
2022-08-15 15:00:00,2124.3467981234007
2022-08-15 15:30:00,2106.044825703725
2022-08-15 16:00:00,2121.7315328404898
2022-08-15 16:30:00,2121.919886266705
2022-08-15 17:00:00,2119.7335092408307
2022-08-15 17:30:00,2063.5400932613024
2022-08-15 18:00:00,2008.581398919534
2022-08-15 18:30:00,1877.6246585157808
2022-08-15 19:00:00,1784.672063974979
2022-08-15 19:30:00,1785.2211600796136
2022-08-15 20:00:00,1785.1818453227183
2022-08-15 20:30:00,1758.245994882002
2022-08-15 21:00:00,1712.5574819448398
2022-08-15 21:30:00,1712.732968723344
2022-08-15 22:00:00,1597.0347620130797
2022-08-15 22:30:00,1128.542844185385
2022-08-15 23:00:00,1019.0184839351724
2022-08-15 23:30:00,603.4168276940575
2022-08-16 00:00:00,395.17287460904186
2022-08-16 00:30:00,488.5809246516918
2022-08-16 01:00:00,
2022-08-16 01:30:00,487.94223855558727
2022-08-16 02:00:00,488.7468805800399
2022-08-16 02:30:00,487.24732044356
2022-08-16 03:00:00,487.2107458060849
2022-08-16 03:30:00,487.1741711686097
2022-08-16 04:00:00,489.64170827409725
2022-08-16 04:30:00,488.7610577196475
2022-08-16 05:00:00,487.95379471140177
2022-08-16 05:30:00,488.504201307933
2022-08-16 06:00:00,518.2106698891104
2022-08-16 06:30:00,526.1579692920105
2022-08-16 07:00:00,530.2288336650554
2022-08-16 07:30:00,546.5921120272959
2022-08-16 08:00:00,1567.572044924652
2022-08-16 08:30:00,2421.386465453512
2022-08-16 09:00:00,2228.3166980381006
2022-08-16 09:30:00,1997.000701165767
2022-08-16 10:00:00,1961.1869829400064
2022-08-16 10:30:00,1993.913777935741
2022-08-16 11:00:00,1731.172185385272
2022-08-16 11:30:00,2053.3117040090992
2022-08-16 12:00:00,2235.7405154961616
2022-08-16 12:30:00,2327.421575490476
2022-08-16 13:00:00,1923.751233153256
2022-08-16 13:30:00,2182.0848075063977
2022-08-16 14:00:00,2131.9133400625533
2022-08-16 14:30:00,2009.7864557861817
2022-08-16 15:00:00,2009.82994029002
2022-08-16 15:30:00,1841.7419607620132
2022-08-16 16:00:00,1856.2989047483652
2022-08-16 16:30:00,1968.0773110605635
2022-08-16 17:00:00,2123.571106056298
2022-08-16 17:30:00,2175.531037531988
2022-08-16 18:00:00,2081.998848166051
2022-08-16 18:30:00,2061.636425078192
2022-08-16 19:00:00,2039.2106920671024
2022-08-16 19:30:00,1988.8761279499572
2022-08-16 20:00:00,1962.7834003412
2022-08-16 20:30:00,1913.204632641456
2022-08-16 21:00:00,1914.13674978675
2022-08-16 21:30:00,1845.9464953085017
2022-08-16 22:00:00,1594.7708276940575
2022-08-16 22:30:00,1439.1814859255048
2022-08-16 23:00:00,944.2490835939724
2022-08-16 23:30:00,757.2777497867503
2022-08-17 00:00:00,427.8435567244812
2022-08-17 00:30:00,577.1287176570941
2022-08-17 01:00:00,545.3507187944272
2022-08-17 01:30:00,575.9790588569805
2022-08-17 02:00:00,575.1053181688941
2022-08-17 02:30:00,547.9338174580607
2022-08-17 03:00:00,578.8543972135342
2022-08-17 03:30:00,578.8082917259027
2022-08-17 04:00:00,577.010177708274
2022-08-17 04:30:00,576.27248990617
2022-08-17 05:00:00,545.6165103781633
2022-08-17 05:30:00,547.8463719078761
2022-08-17 06:00:00,548.4147679840775
2022-08-17 06:30:00,584.6175831674723
2022-08-17 07:00:00,591.3950898493036
2022-08-17 07:30:00,434.6067671310777
2022-08-17 08:00:00,
2022-08-17 08:30:00,1294.8611831106057
2022-08-17 09:00:00,3096.4731418822867
2022-08-17 09:30:00,3067.869630935457
2022-08-17 10:00:00,2174.07400881433
2022-08-17 10:30:00,2102.65351094683
2022-08-17 11:00:00,2075.8015319874894
2022-08-17 11:30:00,1904.2563557008816
2022-08-17 12:00:00,2163.0874404321867
2022-08-17 12:30:00,2504.6791859539385
2022-08-17 13:00:00,2347.0049707136764
2022-08-17 13:30:00,2544.336457776514
2022-08-17 14:00:00,2550.648739835088
2022-08-17 14:30:00,2534.5578055160654
2022-08-17 15:00:00,2518.2614813761734
2022-08-17 15:30:00,2466.480253340916
2022-08-17 16:00:00,2474.343085584305
2022-08-17 16:30:00,2525.8786559567816
2022-08-17 17:00:00,2462.900108615297
2022-08-17 17:30:00,2420.114216093262
2022-08-17 18:00:00,2362.982368780211
2022-08-17 18:30:00,2355.437986067672
2022-08-17 19:00:00,1958.285673016776
2022-08-17 19:30:00,2088.6619846460053
2022-08-17 20:00:00,2094.2938831390397
2022-08-17 20:30:00,2019.3681768552744
2022-08-17 21:00:00,1967.047026158658
2022-08-17 21:30:00,1909.7305186238275
2022-08-17 22:00:00,1930.21017116861
2022-08-17 22:30:00,1504.2202456639184
2022-08-17 23:00:00,1030.3036061984644
2022-08-17 23:30:00,523.7125914131361
2022-08-18 00:00:00,581.5057605914134
2022-08-18 00:30:00,580.8369331816889
2022-08-18 01:00:00,471.3789314756894
2022-08-18 01:30:00,728.6365919818028
2022-08-18 02:00:00,634.4208023883994
2022-08-18 02:30:00,633.8328680693774
2022-08-18 03:00:00,608.3438006823999
2022-08-18 03:30:00,607.9852024452659
2022-08-18 04:00:00,607.703446687518
2022-08-18 04:30:00,607.4985334091557
2022-08-18 05:00:00,607.8827458060849
2022-08-18 05:30:00,378.8910850156385
2022-08-18 06:00:00,531.2660284333239
2022-08-18 06:30:00,533.9651651976117
2022-08-18 07:00:00,596.6002445265851
2022-08-18 07:30:00,
2022-08-18 08:00:00,1525.727442991186
2022-08-18 08:30:00,1518.8340173443278
2022-08-18 09:00:00,2317.1816300824566
2022-08-18 09:30:00,2042.699817173728
2022-08-18 10:00:00,1906.518622121126
2022-08-18 10:30:00,1920.2684222348587
2022-08-18 11:00:00,1941.375085584305
2022-08-18 11:30:00,1938.720148137617
2022-08-18 12:00:00,1940.9104566391811
2022-08-18 12:30:00,1989.8936653397789
2022-08-18 13:00:00,1990.4314435598528
2022-08-18 13:30:00,2061.520863520046
2022-08-18 14:00:00,2137.250020471993
2022-08-18 14:30:00,2094.146274097242
2022-08-18 15:00:00,2084.283750355417
2022-08-18 15:30:00,2041.5309775376743
2022-08-18 16:00:00,2039.7070110889963
2022-08-18 16:30:00,2024.8119601933467
2022-08-18 17:00:00,2213.169198748934
2022-08-18 17:30:00,2227.813945692352
2022-08-18 18:00:00,2258.7147489337503
2022-08-18 18:30:00,2235.5955274381577
2022-08-18 19:00:00,2153.2865098094967
2022-08-18 19:30:00,2129.4148276940577
2022-08-18 20:00:00,2054.60349161217
2022-08-18 20:30:00,2055.190830253057
2022-08-18 21:00:00,2056.0450326983228
2022-08-18 21:30:00,2029.7336912141031
2022-08-18 22:00:00,2006.5823030992328
2022-08-18 22:30:00,1519.8943244242255
2022-08-18 23:00:00,1004.3270358259884
2022-08-18 23:30:00,496.2194245095252
2022-08-19 00:00:00,581.7890651123116
2022-08-19 00:30:00,581.7422448109186
2022-08-19 01:00:00,581.8358854137049
2022-08-19 01:30:00,554.1965390958202
2022-08-19 02:00:00,553.1717344327552
2022-08-19 02:30:00,551.7904759738414
2022-08-19 03:00:00,520.8490474836508
2022-08-19 03:30:00,522.6203559852147
2022-08-19 04:00:00,519.7946971851009
2022-08-19 04:30:00,521.5238316747226
2022-08-19 05:00:00,521.6081796986068
2022-08-19 05:30:00,520.8490474836508
2022-08-19 06:00:00,492.6560779073074
2022-08-19 06:30:00,526.8377571794142
2022-08-19 07:00:00,611.0749849303384
2022-08-19 07:30:00,860.4456286607906
2022-08-19 08:00:00,1470.27767159511
2022-08-19 08:30:00,2113.179858402047
2022-08-19 09:00:00,1882.4386909297696
2022-08-19 09:30:00,1805.4263241398924
2022-08-19 10:00:00,1911.2747546204157
2022-08-19 10:30:00,1911.091285754905
2022-08-19 11:00:00,1866.2061043502988
2022-08-19 11:30:00,1912.322909866364
2022-08-19 12:00:00,1947.9190864373047
2022-08-19 12:30:00,1948.0566880864376
2022-08-19 13:00:00,1905.5563636622128
2022-08-19 13:30:00,1971.612303383566
2022-08-19 14:00:00,1972.384302246233
2022-08-19 14:30:00,1952.2401356269552
2022-08-19 15:00:00,1777.072402331533
2022-08-19 15:30:00,1770.3793628092124
2022-08-19 16:00:00,1872.9132018766
2022-08-19 16:30:00,1674.8510560136483
2022-08-19 17:00:00,1889.4339775376743
2022-08-19 17:30:00,1950.1261930622693
2022-08-19 18:00:00,1492.3330119419963
2022-08-19 18:30:00,1707.9057122547629
2022-08-19 19:00:00,1730.0079920386695
2022-08-19 19:30:00,1630.059038669321
2022-08-19 20:00:00,1467.4968077907313
2022-08-19 20:30:00,1453.0149192493602
2022-08-19 21:00:00,1453.8791290872905
2022-08-19 21:30:00,1459.5315189081605
2022-08-19 22:00:00,1451.2571922092693
2022-08-19 22:30:00,1075.012109468297
2022-08-19 23:00:00,963.2512160932612
2022-08-19 23:30:00,565.5789951663348
2022-08-20 00:00:00,730.9867804947398
2022-08-20 00:30:00,671.0521484219507
2022-08-20 01:00:00,602.3144657378448
2022-08-20 01:30:00,602.6551936309355
2022-08-20 02:00:00,575.7043321012227
2022-08-20 02:30:00,575.8234677281774
2022-08-20 03:00:00,443.3814634631791
2022-08-20 03:30:00,500.4754256468581
2022-08-20 04:00:00,499.506138185954
2022-08-20 04:30:00,498.9407205004266
2022-08-20 05:00:00,501.0004563548479
2022-08-20 05:30:00,500.1119428490192
2022-08-20 06:00:00,500.0311688939439
2022-08-20 06:30:00,505.8065066818313
2022-08-20 07:00:00,569.1990503269833
2022-08-20 07:30:00,606.4122547625817
2022-08-20 08:00:00,1141.9326164344614
2022-08-20 08:30:00,2034.765980096673
2022-08-20 09:00:00,1944.4212644299123
2022-08-20 09:30:00,1668.1416949104355
2022-08-20 10:00:00,1669.705350014217
2022-08-20 10:30:00,1685.2513579755478
2022-08-20 11:00:00,1682.3241956212682
2022-08-20 11:30:00,1684.0504708558435
2022-08-20 12:00:00,1675.7181251066254
2022-08-20 12:30:00,1676.5409948820022
2022-08-20 13:00:00,1713.9337367074213
2022-08-20 13:30:00,1715.4349647426789
2022-08-20 14:00:00,1713.7116678987777
2022-08-20 14:30:00,1682.256169178277
2022-08-20 15:00:00,1582.5563284048908
2022-08-20 15:30:00,1593.3300014216666
2022-08-20 16:00:00,1585.2727398350871
2022-08-20 16:30:00,1579.612129655957
2022-08-20 17:00:00,1585.6333633778793
2022-08-20 17:30:00,1585.0662777935745
2022-08-20 18:00:00,1581.4010702303103
2022-08-20 18:30:00,1387.7447981234006
2022-08-20 19:00:00,985.6126158657949
2022-08-20 19:30:00,875.6879599090134
2022-08-20 20:00:00,896.6337901620702
2022-08-20 20:30:00,886.91816064828
2022-08-20 21:00:00,810.6937568950813
2022-08-20 21:30:00,815.0380375319878
2022-08-20 22:00:00,774.7868746090421
2022-08-20 22:30:00,770.6248714813767
2022-08-20 23:00:00,710.366071367643
2022-08-20 23:30:00,474.1702792152405
